genus	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
Zygophlyctis	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Zygorhizidium	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		partly_freshwater_(partly_non-aquatic)		"diatoms,Chlorophyta"	zoosporic-rhizomycelial_(chytrid-like)						
Achlyella	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Achlyogeton	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Coenomyces	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Nephridiophaga	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			arthropod_parasite		unicellular-aflagellate_(non-yeast)	none	none				
Catenochytridium	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Cladochytrium	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Allochytridium	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Cylindrochytridium	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Nephrochytrium	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Diplophlyctis	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Endochytrium	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Nowakowskiella	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Septochytrium	litter_saprotroph	algal_decomposer			"leaf/fruit/seed,algal_material"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Alogomyces	pollen_saprotroph	dung_saprotroph			"pollen,dung"		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Algomyces	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Clydaea	pollen_saprotroph				pollen		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Cyclopsomyces	pollen_saprotroph				pollen		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Lobulomyces	pollen_saprotroph	vertebrate-associated			"pollen,animal_material"	keratinolytic	non-aquatic	vertebrate-associated	snakes	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Maunachytrium	pollen_saprotroph				pollen		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Algochytrops	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		marine		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Gromochytrium	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Mesochytrium	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Arkaya	soil_saprotroph	animal_decomposer			"soil,animal_material"		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Karlingiomyces	soil_saprotroph	animal_decomposer			"soil,animal_material"		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Lacustromyces	animal-associated	animal_decomposer	no_endophytic_capacity		animal_material	chitinolytic	freshwater	animal-associated		zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Neokarlingia	soil_saprotroph	animal_decomposer			"soil,animal_material"		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Polychytrium	animal-associated	animal_decomposer			animal_material		partly_freshwater_(partly_non-aquatic)	animal-associated		zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Arizonaphlyctis	soil_saprotroph	litter_saprotroph			"leaf/fruit/seed,soil"		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Borealophlyctis	soil_saprotroph	litter_saprotroph			"leaf/fruit/seed,soil"		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Rhizophlyctis	litter_saprotroph	algal_parasite		algal_parasite	"leaf/fruit/seed,algal_material"		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Sonoraphlyctis	soil_saprotroph	litter_saprotroph			"leaf/fruit/seed,soil"		non-aquatic			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Alphamyces	pollen_saprotroph				pollen		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Betamyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Gammamyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Angulomyces	pollen_saprotroph	plant_pathogen		leaf/fruit/seed_pathogen	"pollen,leaf/fruit/seed"		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Aquamyces	pollen_saprotroph	plant_pathogen		leaf/fruit/seed_pathogen	"pollen,leaf/fruit/seed"		freshwater			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Batrachochytrium	animal_parasite	animal_decomposer			animal_material		freshwater	animal_parasite		zoosporic_only	zoosporangium	closed				
Collimyces	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Coralloidiomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Dinomyces	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		marine		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Globomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Urceomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Gorgonomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Halomyces	pollen_saprotroph				pollen		marine			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Paludomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Paranamyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Ulkenomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Kappamyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Operculomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Pateramyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Protrudomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Rhizophydium	algal_parasite	litter_saprotroph		algal_parasite	"leaf/fruit/seed,algal_material,fungal_material,protist_material"	keratinolytic	partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Homolaphlyctis	litter_saprotroph				leaf/fruit/seed		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Staurastromyces	algal_parasite	pollen_saprotroph	no_endophytic_capacity	algal_parasite	"algal_material,pollen"		partly_freshwater_(partly_non-aquatic)		algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Boothiomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Terramyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Uebelmesseromyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Fimicolochytrium	pollen_saprotroph	algal_parasite		algal_parasite	pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Geranomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Powellomyces	pollen_saprotroph	algal_parasite		algal_parasite	pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Thoreauomyces	pollen_saprotroph	algal_parasite		algal_parasite	pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Barromyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Brevicalcar	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Bulbosomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Gaertneriomyces	pollen_saprotroph	algal_parasite		algal_parasite	pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Gallinipes	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Kochiomyces	pollen_saprotroph	algal_parasite		algal_parasite	pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Spizellomyces	pollen_saprotroph				pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Triparticalcar	pollen_saprotroph	algal_parasite		algal_parasite	pollen		partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed				
Carpenterophlyctis	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		partly_freshwater_(partly_non-aquatic)			zoosporic_only	zoosporangium	closed				
Endodesmidium	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		partly_freshwater_(partly_non-aquatic)		algae	zoosporic_only	zoosporangium	closed				
Johnkarlingia	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		partly_freshwater_(partly_non-aquatic)			zoosporic_only	zoosporangium	closed				
Synchytrium	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		partly_freshwater_(partly_non-aquatic)			zoosporic_only	zoosporangium	closed				
Micromyces	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		partly_freshwater_(partly_non-aquatic)		algae	zoosporic_only	zoosporangium	closed				
Developayella	bacterivorous						marine			biflagellate						
Develorapax	algivorous/protistivorous						marine			biflagellate						
Ancylistes	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		freshwater		algae	filamentous_mycelium						
Conidiobolus	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite/opportunistic_human_parasite		filamentous_mycelium						
Macrobiotophthora	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Completoria	plant_pathogen			leaf/fruit/seed_pathogen						filamentous_mycelium						
Batkoa	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Entomophaga	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Entomophthora	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material		partly_freshwater_(partly_non-aquatic)	animal_parasite		filamentous_mycelium						
Erynia	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Eryniopsis	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Furia	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Massospora	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Orthomyces	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Pandora	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Strongwellsea	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Zoophthora	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Tarichium	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Ballocephala	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material		non-aquatic	animal_parasite	tardigrades	filamentous_mycelium						
Meristacrum	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite		filamentous_mycelium						
Zygnemomyces	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material		non-aquatic	animal_parasite	nematodes	filamentous_mycelium						
Apterivorax	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite								
Neozygites	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite								
Thaxterosporium	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material			animal_parasite								
Entorrhiza	plant_pathogen	root-associated		root_pathogen			partly_freshwater_(partly_non-aquatic)		"Juncaceae,Cyperaceae"	filamentous_mycelium	smut	other				
Talbotiomyces	plant_pathogen	root-associated		root_pathogen			non-aquatic		dicotyledonous_plants	filamentous_mycelium	smut	other				
Ambispora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Archaeospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Intraspora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Palaeospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Geosiphon	lichenized	arbuscular_mycorrhizal	root_endophyte				non-aquatic			other	none	none				
Acaulospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Kuklospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Corymbiglomus	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Desertispora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Diversispora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Otospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Redeckera	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Tricispora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Pacispora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Sacculospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Dentiscutata	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Fuscutata	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Quatunica	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Cetraspora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Gigaspora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Intraornatospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Paradentiscutata	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Racocetra	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Bulbospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Orbispora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Scutellospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Claroideoglomus	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Albahypha	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Entrophospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Dominikia	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Funneliformis	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Glomus	arbuscular_mycorrhizal	root-associated	root_endophyte				partly_freshwater_(partly_non-aquatic)			filamentous_mycelium	none	none				
Halonatospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Kamienskia	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Oehlia	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Rhizoglomus	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Rhizophagus	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Sclerocarpum	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Sclerocystis	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Septoglomus	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Simiglomus	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Viscospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Innospora	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Paraglomus	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Pervetustus	arbuscular_mycorrhizal	root-associated	root_endophyte							filamentous_mycelium	none	none				
Canteriomyces	algal_parasite			algal_parasite			freshwater		Chlorophyta	zoosporic-rhizomycelial_(chytrid-like)						
Cystochytrium	plant_pathogen			root_pathogen			non-aquatic			zoosporic-rhizomycelial_(chytrid-like)						
Hyphochytrium	unspecified_saprotroph						partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)						
Latrostium	algal_parasite			algal_parasite			freshwater		Chlorophyta	zoosporic-rhizomycelial_(chytrid-like)						
Reesia	plant_pathogen	algal_parasite		leaf/fruit/seed_pathogen			freshwater			zoosporic-rhizomycelial_(chytrid-like)						
Rhizidiomyces	unspecified_saprotroph						partly_freshwater_(partly_non-aquatic)			zoosporic-rhizomycelial_(chytrid-like)						
Rhizidiomycopsis	unspecified_saprotroph									zoosporic-rhizomycelial_(chytrid-like)						
Elina	unspecified_saprotroph						marine									
Asellaria	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	isopods	filamentous_mycelium	none	none				
Baltomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	isopods	filamentous_mycelium	none	none				
Barbatospora	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Simuliidae_larvae	filamentous_mycelium	none	none				
Dimargaris	mycoparasite	dung_saprotroph			"fungal_material,dung"				Mucorales	filamentous_mycelium						
Dispira	mycoparasite	dung_saprotroph			"fungal_material,dung"				"Mucorales,Chaetomium"	filamentous_mycelium						
Spinalia	mycoparasite	dung_saprotroph			"fungal_material,dung"				Mucorales	filamentous_mycelium						
Tieghemiomyces	mycoparasite	dung_saprotroph			"fungal_material,dung"				Mucorales	filamentous_mycelium						
Carouxella	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Ceratopogonidae_larvae	filamentous_mycelium						
Harpella	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Simuliidae_larvae	filamentous_mycelium						
Harpellomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Thaumaleidae_larvae	filamentous_mycelium						
Klastostachys	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Chironomidae_larvae	filamentous_mycelium						
Stachylina	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Diptera_larvae	filamentous_mycelium						
Stachylinoides	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Chironomidae_larvae	filamentous_mycelium						
Trissocladomyces										filamentous_mycelium						
Allantomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Caenidae_nymphs	filamentous_mycelium						
Austrosmittium	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Chironomidae_larvae	filamentous_mycelium						
Bactromyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Capniidae_nymphs	filamentous_mycelium						
Baetimyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Baetidae_nymphs	filamentous_mycelium						
Bojamyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Leptophlebiidae_nymphs	filamentous_mycelium						
Capniomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Capniidae_nymphs	filamentous_mycelium						
Caudomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Tipulida_larvae	filamentous_mycelium						
Coleopteromyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Scirtidae_larvae	filamentous_mycelium						
Dacryodiomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Chironomidae_larvae	filamentous_mycelium						
Ejectosporus	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Capniidae_nymphs	filamentous_mycelium						
Ephemerellomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Ephemerellidae_nymphs	filamentous_mycelium						
Furculomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Chironomidae_larvae	filamentous_mycelium						
Gauthieromyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Baetidae_nymphs	filamentous_mycelium						
Genistelloides	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Capniidae_nymphs	filamentous_mycelium						
Genistellospora	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Simuliidae_larvae	filamentous_mycelium						
Glotzia	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Ephemeroptera_nymphs	filamentous_mycelium						
Graminella	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Baetidae_nymphs	filamentous_mycelium						
Graminelloides	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Simuliidae_larvae	filamentous_mycelium						
Laculus	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Caenidae_nymphs	filamentous_mycelium						
Lancisporomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Nemouridae_nymphs	filamentous_mycelium						
Legerioides	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	isopods	filamentous_mycelium						
Legeriomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Ephemerellidae_nymphs	filamentous_mycelium						
Legeriosimilis	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Ephemerellidae_nymphs	filamentous_mycelium						
Orphella	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Plecoptera_nymphs	filamentous_mycelium						
Pennella	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Simuliidae_larvae	filamentous_mycelium						
Plecopteromyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Grypopterygidae_nymphs	filamentous_mycelium						
Pseudoharpella	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Dixida_larvae	filamentous_mycelium						
Pteromaktron	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Ephemerellidae_nymphs	filamentous_mycelium						
Simuliomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Simuliidae_larvae	filamentous_mycelium						
Sinotrichium	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Chironomidae_larvae	filamentous_mycelium						
Smittium	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Diptera_larvae	filamentous_mycelium						
Spartiella	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Baetidae_nymphs	filamentous_mycelium						
Stipella	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont	Simuliidae_larvae	filamentous_mycelium						
Stypomyces	animal_endosymbiont		no_endophytic_capacity		leaf/fruit/seed		non-aquatic	animal_endosymbiont		filamentous_mycelium						
